Real,Predict
-101.7543494,-101.48258948710001
-104.1495513,-104.25778146475764
-117.0116032,-116.95228489243507
-105.1887062,-106.00535246716214
-119.8128034,-119.665942671427
-101.44938,-100.68264501751261
-111.1581993,-110.8973205713784
-108.3896296,-109.25435769992161
-108.2271047,-108.46056665246213
-108.7629974,-110.14045003407298
-114.4068134,-114.22632026918734
-105.0537917,-105.39616397047301
-104.8849918,-105.52538576731898
-106.574246,-106.08534690959819
-113.7843244,-114.417076264699
-104.8222409,-104.55314556860363
-111.4581486,-111.66034453081173
-112.3027757,-112.15261805229731
-110.441584,-112.92179543385853
-102.6824352,-103.95011051665583
-105.9630523,-106.25148921659823
-104.4714634,-105.91920460259816
-105.9366969,-105.62384047613877
-113.6274472,-112.44798217875669
-100.3901448,-99.97500183461709
-106.8691753,-108.71285682402615
-114.0045801,-114.57706514957114
-100.9831408,-101.3718279340244
-112.5161288,-112.79872705914049
-90.744704,-91.12638526951903
-103.641269,-104.0793323135018
-108.5728622,-109.91277352840723
-100.0468974,-99.35965991580007
-113.4944153,-113.90018905470178
-105.8645334,-106.5468533430576
-109.254337,-110.20198423273871
-108.0369695,-109.2482042777937
-103.7178251,-104.14701991168202
-111.0992134,-110.50965518084053
-110.5532806,-110.5958030454045
-100.6675038,-100.01807576689907
-109.0278062,-109.88815986250899
-103.3802252,-103.90703658437384
-101.8886363,-101.45182237646044
-108.5571745,-108.92207308592157
-113.6142695,-111.32190649468373
-104.9176223,-104.32546906293788
-100.1441613,-99.78424583910542
-103.6820571,-103.95626393878374
-106.1556975,-106.70684222792973
-113.6876881,-113.57405786282963
-114.4168535,-114.76782114508282
-93.72035168,-94.77536275968562
-107.789731,-107.96829313097656
-113.2045061,-113.801734345882
-104.9910408,-105.13156695465318
-106.6501746,-105.50692552354863
-104.6107704,-105.02695884631888
-117.3567332,-117.11842719943512
-108.421005,-107.894452088055
-109.4087042,-109.90662012889271
-108.4467329,-108.72516366828197
-109.2693972,-109.19282350125589
-117.3711659,-116.75537547479549
-97.4590503,-97.31057138742167
-103.9048227,-104.0854857356297
-112.9773479,-113.59867152872788
-110.2552138,-111.02038896870985
-94.3980614,-94.92304480030191
-102.2005083,-101.9317890763036
-105.5878019,-106.14072768613599
-112.7683874,-113.43252922172786
-110.1698726,-109.91892695053515
-98.51326542,-98.78123852975052
-116.645138,-116.08465280205404
-102.8612753,-102.51636388448107
-103.6155411,-103.57475194776039
-100.7992807,-100.65803132900096
-94.90571618,-95.08918712991535
-104.2254798,-105.04541909008921
-97.59459224,-97.35979874183158
-111.3382944,-111.31575307255584
-100.0544275,-100.51650268789918
-98.62182448,-97.95052697213696
-110.2545863,-112.97102278826844
-111.627576,-111.51881588970993
-100.3688095,-100.23959885043693
-103.6481716,-103.99318444893781
-107.8073012,-107.5437072076712
-107.7138024,-108.18366279238647
-105.2746749,-104.81774258442347
-109.9012988,-108.82361837710175
-111.4983092,-110.71271799799462
-108.3896296,-107.4883264537468
-101.863536,-102.2825339566874
-109.9383218,-109.16205641322972
-98.01439576,-98.25819792023877
-97.28711283,-97.00290043931987
-109.6892007,-110.04199532525318
-103.9180004,-103.87626947373428
-107.9403331,-108.02367390751436
-102.1201872,-102.20869293637925
-110.9391986,-111.32190649468373
-109.6308424,-109.90662012889271
-105.5539164,-105.42077765898468
-105.7929973,-106.22687555069999
-99.86680233,-99.83347319351532
-101.7989025,-101.81487410110007
-111.1117636,-110.38043338399457
-114.7099002,-112.49105611103867
-117.1898158,-116.706148142999
-111.067838,-110.7496385307621
-109.2963801,-109.37742607463966
-112.8782014,-113.46329630975403
-109.8705508,-108.70054997977032
-98.26351684,-98.44895391575045
-107.1653595,-107.51294011964504
-101.0440092,-100.54111637641083
-114.0930589,-113.31561424652432
-103.3174743,-103.728587433118
-103.0752558,-102.16561900409727
-103.6406415,-103.81473529768196
-100.1868319,-100.47342875561719
-100.1799293,-100.53496295428292
-111.4826214,-110.2512115871486
-100.8356762,-101.20568562702435
-103.9638086,-104.29470197491172
-101.2184567,-100.78109970371901
