homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
-6.320660797,-3.60142697,2.044600089,4.583060607,4.563192835,12.56774696,,0.927247116,19.64542426,37.91346627,-94.82414001,131.8860766,2.719233827
-8.121238225,-4.39545522,2.780200122,7.374875505,7.085470893,12.69622094,2.24216174,1.936522792,44.13396299,51.60634016,-113.7623616,,3.725783005
-6.611550516,-4.078714684,1.774700078,7.655632037,6.779653498,11.64874499,1.379418408,0.819487496,18.71922098,32.39138707,-106.5905613,139.3854366,2.532835832
-6.088547673,-3.975583531,1.504100066,15.02930839,,29.99256119,,0.529369492,11.27194417,,-104.8893844,,2.112964142
-7.45510349,-4.529607355,2.162500095,1.42340007,0.437901701,2.185700002,,0.984368632,22.43344675,42.14726949,-115.5400946,157.7984332,2.925496135
-7.051558632,-4.239806091,2.035600089,5.69294687,5.217195378,9.394954739,1.577526485,0.870439456,20.62496581,37.62857718,-110.0782563,149.2912937,2.811752541
-6.524746194,-4.056129234,1.676700073,11.14976029,12.00487475,20.38787555,,0.81205008,18.8673131,27.84257433,-106.1946031,135.9962605,2.46861696
-7.557418302,-4.350828547,2.376900104,5.211903015,5.690293621,9.96012027,1.808935994,1.091015225,24.92089243,42.66245438,-112.8029004,159.4870599,3.206589755
-5.997933756,-3.892044575,1.408600062,11.04048052,11.58804427,20.06609485,,0.507003637,11.71810307,24.58956767,-102.6987504,126.0797358,2.105889181
-7.382176975,-3.93748759,2.601000114,5.968287417,6.055959709,13.52635558,2.188721245,1.588667397,35.92238021,50.2986114,-103.2333881,158.5244611,3.444689385
-7.269521836,-3.874901401,2.50830011,5.780309865,7.116663784,13.84812531,,1.328896075,31.3478396,42.28155642,-100.9737282,155.1917608,3.394620435
-6.797676398,-3.59299144,2.371100104,5.575628929,5.615032553,4.144289954,,1.231015249,26.91386101,44.91144664,-96.51339424,144.6891427,3.204684958
-7.020537651,-4.165519007,2.075100091,8.955193644,8.883913747,16.4995316,1.532243544,1.066624299,23.74180301,35.12293375,-108.8740665,147.3284455,2.855018644
-7.182717513,-3.73040894,2.619300115,6.999439913,7.195206294,4.810555803,,1.411691888,32.84382106,52.03932137,-99.02468525,154.5209537,3.452308573
-5.12390403,-3.185364874,1.298100057,15.7736278,16.50834836,24.27347281,,0.42041755,10.50450066,24.21431729,-84.4903218,109.4350596,1.938539156
-6.479847407,-4.090959808,1.726600075,12.65982096,11.60486907,22.97565852,,0.722729031,18.01013581,32.86515637,-105.2056489,139.5981622,2.388887599
-5.585953369,-3.520064925,1.345500059,1.24460047,2.054600012,8.917800007,0.981578778,0.365832326,10.423552,24.01163188,-93.99018055,,2.065888444
-7.921778764,-4.24960219,2.308100101,9.10505372,5.084728902,11.31155446,1.758898456,1.22167641,32.98250055,39.48161126,-111.0992134,166.6550952,3.672176574
-6.175079881,-4.031366872,1.455700064,15.07890001,16.0811,24.4207,1.114250529,0.580270022,13.08670019,25.73916416,-105.2778124,129.0302831,2.143713009
