homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
-5.754663963,-3.688503406,1.357300059,2.634500099,4.247000002,15.41540034,0.926651027,0.483572457,9.58833752,21.12195294,-98.48188997,119.331504,2.066160557
-5.519013358,-3.450131662,1.588000069,17.26169936,16.48870757,24.16700016,1.237734762,0.416270916,8.884899931,28.1475437,-92.22688026,115.8231012,2.068881696
-5.488264492,-3.416661657,1.303800057,12.55615152,14.3410654,19.21943525,0.777735416,0.193778268,4.978656406,18.68847304,-93.13488578,109.778307,2.071602835
-6.067050677,-3.993543045,1.37140006,15.64190001,17.4307,26.7354,1.059715705,0.597319316,14.1120499,25.61868243,-103.5973433,129.2028481,2.073507632
-5.92772838,-3.849050584,1.37040006,17.04554865,18.49614317,26.88040048,1.000645125,0.495630638,11.62899679,24.13336863,-101.5165235,123.3532092,2.078677796
-5.771807137,-3.685510153,1.543600067,12.46820902,8.579338311,25.81731321,0.667909413,0.411644871,9.542529363,15.966339,-98.49067509,119.4588883,2.086296984
-6.298619574,-4.212050477,1.318300058,8.390300001,7.179700003,25.2891,0.855309478,0.673568886,15.77432124,20.19700467,-109.5191458,133.4874795,2.086569097
-6.074941979,-3.988100768,1.309700057,19.94830053,20.3513,32.6261,0.934860928,0.568979202,14.27771228,23.12056911,-104.1978695,127.0385695,2.086841211
-5.911673662,-3.79870952,1.550800068,10.45307075,9.998858981,19.6443295,1.21353121,0.501141488,12.11468875,28.34771908,-99.65846934,126.7342277,2.112964142
-5.775616731,-3.661564133,1.517500066,14.77452364,15.55021044,27.7807401,1.102653169,0.435414834,9.548804453,25.29049523,-98.15746782,118.1266867,2.114052598
-5.989498227,-3.874901401,1.442600063,10.90089404,12.39096312,21.02253871,1.078715612,0.532340703,12.13288651,25.54902893,-101.4004343,125.7477835,2.114596826
-5.750310142,-3.635713316,1.391200061,12.92631712,11.28750269,21.25467814,0.853254769,0.518383167,11.80783685,20.61931823,-96.3646746,116.6758859,2.114596826
-5.892625692,-3.7747635,1.516800066,14.44150512,13.85993984,22.69524507,1.153289335,0.508032772,12.2157177,27.27907125,-98.97260201,126.3357595,2.117862192
-5.583504344,-3.464825811,1.505800066,20.56708736,19.10607615,29.56535885,1.161251026,0.523551126,12.43534585,27.39955298,-92.4665887,119.4268854,2.118678533
-6.002559692,-3.879527337,1.535000067,7.929446172,8.096322776,24.69077045,1.166636375,0.546988864,11.8461149,26.38926349,-100.9894159,125.1384723,2.123032355
-5.800106978,-3.676258282,1.299400057,2.481007418,2.842838909,13.4982661,0.873402697,0.670326105,15.56975331,20.90420732,-99.09622128,122.785941,2.123848696
-6.020519207,-3.887962867,1.581100069,14.56298424,14.56456023,26.73730119,1.257474407,0.573389895,13.31950603,29.50296314,-101.6313576,128.2427593,2.13255634
