homo (eV),lumo (eV),vertical_excitation_energy (eV),zpve_S0 (eV),zpve_S1 (eV),zpve_T1 (eV),total_electronic_energy_S0 (eV),total_electronic_energy_S1 (eV),total_electronic_energy_T1 (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),reduction_potential_S0 (eV),reduction_potential_S1 (eV),reduction_potential_T1 (eV),oxidation_potential_S0 (eV),oxidation_potential_S1 (eV),oxidation_potential_T1 (eV),free_energy_S0,free_energy_AN,free_energy_CAT,free_energy_S1,free_energy_T1,adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol)
-5.585953369,-3.520064925,1.345500059,7.846620915,7.831709075,7.816198585,-28929.28258,-28928.28609,-28928.88633,1.24460047,2.054600012,8.917800007,0.981578778,0.365832326,-0.724196934,0.257381844,-0.358364608,,,,-1062.894415,-1063.044198,,-1062.85615,-1062.877804,10.423552,24.01163188,-93.99018055,
-7.921778764,-4.24960219,2.308100101,4.383373365,4.296677888,4.23428218,-25088.14926,-25086.30367,-25086.7785,9.10505372,5.084728902,11.31155446,1.758898456,1.22167641,-0.034388293,1.724510163,1.187288118,-2.122739929,-3.881638385,-3.34441634,-921.853708,-922.030756,-921.588126,-921.79079,-921.801147,32.98250055,39.48161126,-111.0992134,166.6550952
-6.175079881,-4.031366872,1.455700064,7.078933286,7.042987045,7.037653613,-35026.75821,-35025.60801,-35026.13666,15.07890001,16.0811,24.4207,1.114250529,0.580270022,-0.234718518,0.879532011,0.345551504,-0.795286874,-1.909537403,-1.375556896,-1287.003792,-1287.171563,-1286.798169,-1286.962774,-1286.982937,13.08670019,25.73916416,-105.2778124,129.0302831
-6.675769388,-4.073000293,1.927800084,5.090325179,5.072882681,5.062896102,-36902.83081,-36901.24696,-36901.86731,10.59196036,11.24604085,20.67425644,1.566409034,0.936075769,-0.190146267,1.376262766,0.745929501,-1.340249306,-2.90665834,-2.276325075,-1356.01894,-1356.188349,-1355.79329,-1355.962982,-1355.986501,20.35576445,35.11414862,-106.3056722,141.5974058
-7.707897268,-3.989733451,2.757900121,4.19150588,4.106660778,4.118715422,-23145.52258,,-23143.83518,7.531230318,7.800762387,12.96055412,,1.614615086,-0.278937021,,1.335678066,-2.477984577,,-4.092599663,-850.474796,-850.640942,-850.207335,-850.384437,-850.414161,38.04900821,56.70108573,-104.2581103,167.8341846
-6.926658369,-3.892316689,2.301100101,4.276867999,4.223424836,4.215941705,-24156.82702,-24154.85565,-24155.55881,8.716180112,8.316084702,16.18599091,1.917923675,1.207284771,-0.396435787,1.521487889,0.810848984,-1.625860016,-3.543783692,-2.833144787,-887.632888,-887.794716,-887.396742,-887.562115,-887.588995,27.54325254,44.41069446,-101.5485265,148.1837403
-7.765313293,-3.775307728,2.789400122,4.471483833,4.383972015,4.397659343,-30817.87052,-30815.29772,-30816.10031,7.427853015,7.50427513,8.05459619,2.485288876,1.696376867,-0.457334869,2.027954007,1.239041998,-2.42054134,-4.905830217,-4.116918207,-1132.417605,-1132.577195,-1132.152255,-1132.324214,-1132.356572,38.2987568,58.60369302,-100.1441613,166.5095132
-7.199316459,-3.899391649,2.355600103,6.191978152,6.139786713,6.115813482,-33338.07035,-33336.06401,-33336.58087,9.86034407,9.967957606,5.579908614,1.954147002,1.413310965,-0.341033404,1.613113597,1.072277561,-1.991390568,-3.94553757,-3.404701533,-1224.975529,-1225.139393,-1224.72595,-1224.903826,-1224.92397,32.35373653,44.99427783,-102.8261348,156.6130687
-5.802011775,-3.61339998,1.452900064,7.536792071,7.514342678,7.516519589,-53750.55398,,-53749.98601,9.141017757,10.55524609,17.70193462,,0.547697721,-0.641066149,,-0.093368428,-0.481457956,,-1.029155677,-1975.078474,-1975.231016,-1974.879785,-1975.030474,-1975.051366,17.01051397,30.120432,-95.72147788,124.6791357
-6.7231172,-3.507003459,2.450100107,6.014804816,5.963021548,5.959511279,-32956.13712,-32954.03028,-32954.78959,11.08110217,10.94462347,9.500838804,2.055062782,1.292245603,-0.75611589,1.298946892,0.536129713,-1.409202959,-3.464265741,-2.701448562,-1210.94522,-1211.09383,-1210.717036,-1210.868892,-1210.897667,29.83993548,47.89650695,-93.25411249,143.1875137
